capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Phnom Penh,2003,28.58082191780822,1.7653220555915152,1449.4,177,0.0,0,43667.382301369864,36071.35383561644,1,Cambodia,11.569583333,104.921027777
Port Louis,2003,25.17945205479452,2.1805873606422552,966.1,191,0.0,0,43574.60065753425,38859.42523287672,1,Mauritius,-20.161944444,57.498888888
Port Moresby,2003,26.613150684931504,1.0375926765337666,2162.9,194,0.0,0,43590.72561643836,35818.04816438356,3,Papua New Guinea,-9.478888888,147.149444444
Port-au-Prince,2003,27.89698630136986,1.7503191898323436,1037.8,184,0.0,0,43708.95205479452,39376.22920547945,1,Haiti,18.546944444,-72.340277777
Porto-Novo,2003,27.010684931506848,1.3304065816272683,1267.5,216,0.0,0,43642.90342465753,35539.98438356165,3,Benin,6.483333333,2.616666666
Prague,2003,10.345479452054795,8.902564768287856,395.6,85,26.11,7,44146.59117808219,30312.80893150685,2,Czech Republic,50.0875,14.421388888
Praia,2003,24.616986301369867,2.0109109554356097,176.6,25,0.0,0,43686.28317808219,38750.34531506849,4,Cape Verde,14.917719444,-23.509155555
Prishtina,2003,11.165616438356164,9.709740915373859,490.7,91,73.64,21,43977.68898630137,31741.514493150684,2,Kosovo,42.666666666,21.166666666
Pyongyang,2003,10.855890410958905,10.46910746371716,945.8,79,19.6,7,43918.0458630137,29461.31304109589,2,North Korea,39.016666666,125.7475
Quito,2003,13.042328767123287,0.922927616945516,2485.5,321,0.0,0,43616.552246575346,30512.684301369864,3,Ecuador,-0.22,-78.5125
Rabat,2003,19.034520547945206,5.082673660729386,484.8,65,0.0,0,43850.1562739726,37505.4515890411,1,Morocco,34.025277777,-6.836111111
Reykjavík,2003,5.397397260273973,5.700651839390694,1211.2,181,141.19,36,45043.819287671235,23698.796684931505,0,Iceland,64.1475,-21.935
Riga,2003,7.01041095890411,8.94160396260399,532.4,97,57.96,20,44404.99336986301,26507.304630136983,0,Latvia,56.9475,24.106944444
Riyadh,2003,25.702739726027396,7.960094023872116,74.39999999999999,14,0.0,0,43754.93243835616,39171.95443835616,4,Saudi Arabia,24.65,46.71
